갈래	이름	등록위도	등록경도	주소로_찾은위도	주소로_찾은경도	어긋남m	등록주소	좌표가_있는곳	판정
여행지	용머리해안	33.2316	126.3148	33.233371	126.313291	242	서귀포시 안덕면 사계남로216번길 24-32	제주특별자치도 서귀포시 안덕면 사계리 112-3	어긋남
여행지	대포주상절리	33.2368	126.4255	33.238904	126.426487	251	서귀포시 이어도로 36-24		어긋남
여행지	외돌개	33.239	126.5449	33.241015	126.546869	289	서귀포시 남성로 57		어긋남
여행지	사려니숲길	33.395	126.684	33.394568	126.685265	127	서귀포시 표선면 가시리 산158-4	제주특별자치도 서귀포시 표선면 가시리 산 158	OK
여행지	5.16도로 숲터널	33.3618	126.6229	33.359527	126.622338	258	서귀포시 남원읍 한남리 산106	제주특별자치도 서귀포시 남원읍 한남리 산 106	조금멀다
여행지	1100고지 습지	33.3578	126.4625	33.357849	126.462424	9	서귀포시 1100로 1555	제주특별자치도 서귀포시 1100로 1555	OK
여행지	화순곶자왈	33.264	126.3317	33.263480	126.332364	85	서귀포시 안덕면 화순서동로 151	제주특별자치도 서귀포시 안덕면 화순리 2045	동네다름
여행지	비자림	33.4843	126.8065	33.491097	126.811461	885	제주시 구좌읍 비자숲길 55	제주특별자치도 제주시 구좌읍 평대리 산 15	어긋남
여행지	서귀포자연휴양림	33.3114	126.4589	33.311502	126.458755	18	서귀포시 1100로 882	제주특별자치도 서귀포시 대포동 산 1-8	OK
여행지	절물자연휴양림	33.437	126.632	33.440049	126.625204	716	제주시 명림로 584	제주특별자치도 제주시 봉개동 산 78-1	어긋남
여행지	한라생태숲	33.4313	126.5977	33.430771	126.596404	134	제주시 516로 2596	제주특별자치도 제주시 516로 2596	OK
여행지	섭지코지	33.4242	126.9311	33.426042	126.926443	478	서귀포시 성산읍 섭지코지로 107		어긋남
여행지	군산오름	33.2532	126.3707	33.251597	126.367481	348	서귀포시 안덕면 창천리 산 3-1	제주특별자치도 서귀포시 상예동 산 9	어긋남
여행지	따라비오름	33.3871	126.7535	33.386038	126.750267	323	서귀포시 표선면 가시리 산 62	제주특별자치도 서귀포시 표선면 가시리 산 63	멀다
여행지	비밀의숲(안돌오름)	33.4578	126.7553	33.453966	126.755351	426	제주시 구좌읍 비자림로 1741-212	제주특별자치도 제주시 구좌읍 송당리 산 66-2	어긋남
여행지	아부오름	33.4476	126.7773	33.447680	126.777366	11	제주시 구좌읍 송당리 산 164-1	제주특별자치도 제주시 구좌읍 송당리 산 164-1	OK
여행지	용눈이오름	33.46	126.8315	33.461241	126.833555	235	제주시 구좌읍 종달리 산 28	제주특별자치도 제주시 구좌읍 종달리 산 39	조금멀다
여행지	산방산	33.237	126.313	33.237230	126.313335	40	서귀포시 안덕면 산방로 218-12	제주특별자치도 서귀포시 안덕면 사계리 3693	동네다름
여행지	쇠소깍	33.2523	126.6239	33.254247	126.622407	257	서귀포시 쇠소깍로 104		어긋남
여행지	천지연폭포	33.247	126.554	33.244717	126.559551	575	서귀포시 남성중로 2-15	제주특별자치도 서귀포시 서홍동 572	어긋남
여행지	정방폭포	33.2445	126.573	33.244748	126.573050	28	서귀포시 칠십리로214번길 37		OK
여행지	제주마 방목지	33.4276	126.6036	33.427639	126.603595	4	제주시 516로 2480	제주특별자치도 제주시 516로 2480	OK
여행지	성이시돌목장	33.3478	126.3273	33.347203	126.326553	96	제주시 한림읍 금악동길 35	제주특별자치도 제주시 한림읍 금악동길 35	OK
여행지	성읍민속마을	33.386	126.799	33.384981	126.801497	258	서귀포시 표선면 성읍정의현로 30	제주특별자치도 서귀포시 표선면 성읍민속로 101	조금멀다
여행지	알뜨르비행장	33.2047	126.2715	33.204451	126.272644	110	서귀포시 대정읍 상모리 1670	제주특별자치도 서귀포시 대정읍 상모리 1670	OK
여행지	모슬포항	33.214	126.251	33.219059	126.248415	612	서귀포시 대정읍 신영로36번길 48		어긋남
여행지	제주성서식물원 비블리아	33.356	126.2752	33.356171	126.275000	27	제주시 한림읍 조성로 17	제주특별자치도 제주시 한림읍 상명리 2361-12	동네다름
여행지	김녕해변	33.558	126.759	33.557107	126.759839	126	제주시 구좌읍 해맞이해안로 7-6		OK
여행지	함덕해변	33.5432	126.669	33.542827	126.670510	146	제주시 조천읍 조함해안로 525	제주특별자치도 제주시 조천읍 조함해안로 525	OK
여행지	이호테우해변	33.498	126.453	33.497038	126.452809	108	제주시 테우해안로 172-13		OK
여행지	협재해변	33.394	126.24	33.393748	126.239432	60	제주시 한림읍 한림로 329-10	제주특별자치도 제주시 한림읍 한림로 329-10	OK
여행지	신창풍차해안	33.3434	126.174	33.343096	126.172125	177	제주시 한경면 한경해안로 485	제주특별자치도 제주시 한경면 신창리 1322-1	어긋남
여행지	형제해안도로	33.216	126.2928	33.217359	126.293135	154	서귀포시 대정읍 형제해안로 192	제주특별자치도 서귀포시 대정읍 형제해안로 202	조금멀다
여행지	김녕미로공원	33.5369	126.7725	33.536252	126.772021	85	제주시 구좌읍 만장굴길 122	제주특별자치도 제주시 구좌읍 김녕리 산 15	동네다름
여행지	종달리	33.4935	126.8991	33.493486	126.899120	2	제주시 구좌읍 종달로5길 27	제주특별자치도 제주시 구좌읍 종달로5길 27	OK
여행지	산방산탄산온천	33.2489	126.2988	33.248217	126.298890	76	서귀포시 안덕면 사계북로41번길 192	제주특별자치도 서귀포시 안덕면 사계북로41번길 192	OK
맛집	범일분식	33.278457	126.716913	33.278455	126.716912	0	서귀포시 남원읍 태위로 658 1층	제주특별자치도 서귀포시 남원읍 태위로 658	OK
맛집	서귀포하르방식당	33.247083	126.560103	33.247082	126.560104	0	서귀포시 태평로353번길 11 1층	제주특별자치도 서귀포시 태평로353번길 11	OK
맛집	산방산초가집	33.240684	126.300195	33.240684	126.300195	0	서귀포시 안덕면 사계로 113 1층	제주특별자치도 서귀포시 안덕면 사계로 113	OK
맛집	진미명가	33.228347	126.307411	33.228347	126.307556	14	서귀포시 안덕면 사계남로 167	제주특별자치도 서귀포시 안덕면 사계남로 167	OK
맛집	산계원식당	33.225409	126.299485	33.225506	126.299305	20	서귀포시 안덕면 형제해안로 80	제주특별자치도 서귀포시 안덕면 형제해안로 80	OK
맛집	춘미향식당	33.231438	126.296492	33.231437	126.296493	0	서귀포시 안덕면 산방로 378 1층	제주특별자치도 서귀포시 안덕면 산방로 378	OK
맛집	한라전복 본점	33.230484	126.245195	33.230484	126.245195	0	서귀포시 대정읍 대한로 33 1층 (모슬포)	제주특별자치도 서귀포시 대정읍 대한로 33	OK
맛집	가시식당	33.353082	126.771443	33.353080	126.771440	0	서귀포시 표선면 가시로565번길 22	제주특별자치도 서귀포시 표선면 가시로565번길 22	OK
맛집	당케올레국수	33.325297	126.843334	33.325293	126.843337	0	서귀포시 표선면 민속해안로 584 1층	제주특별자치도 서귀포시 표선면 민속해안로 584	OK
맛집	성읍칠십리식당	33.389199	126.80125	33.389272	126.801355	13	서귀포시 표선면 성읍정의현로 74 1층	제주특별자치도 서귀포시 표선면 성읍정의현로 74	OK
맛집	편운산장펜션식당	33.437597	126.875082	33.437399	126.874765	37	서귀포시 성산읍 서성일로 898-38 1층	제주특별자치도 서귀포시 성산읍 서성일로 898-38	OK
맛집	부뚜막식당 성산	33.445091	126.913533	33.445099	126.913537	1	서귀포시 성산읍 고성오조로 11 1층	제주특별자치도 서귀포시 성산읍 고성오조로 11	OK
맛집	맛나식당	33.448537	126.916014	33.448537	126.916013	0	서귀포시 성산읍 동류암로 41 1층	제주특별자치도 서귀포시 성산읍 동류암로 41	OK
맛집	그리운바다 성산포	33.469832	126.930054	33.469835	126.930052	0	서귀포시 성산읍 성산등용로 94	제주특별자치도 서귀포시 성산읍 성산등용로 94	OK
맛집	목화휴게소편의점	33.481782	126.90168	33.481782	126.901680	0	서귀포시 성산읍 해맞이해안로 2526	제주특별자치도 서귀포시 성산읍 해맞이해안로 2526	OK
맛집	동부식당	33.457398	126.70367	33.457318	126.703733	11	제주시 조천읍 번영로 1619 1층	제주특별자치도 제주시 조천읍 번영로 1619	OK
맛집	선흘방주할머니식당	33.484584	126.700216	33.484585	126.700228	1	제주시 조천읍 선교로 212 1층	제주특별자치도 제주시 조천읍 선교로 212	OK
맛집	타코마씸	33.55509	126.797214	33.555080	126.797208	1	제주시 구좌읍 해맞이해안로 474 1층 102호 (월정리)	제주특별자치도 제주시 구좌읍 해맞이해안로 474	OK
맛집	소라횟집	33.53234	126.846357	33.532464	126.846266	16	제주시 구좌읍 해맞이해안로 1240-3 1층	제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3	OK
맛집	인손	33.52254	126.855653	33.522547	126.855657	1	제주시 구좌읍 세화4길 10 1층	제주특별자치도 제주시 구좌읍 세화4길 10	OK
맛집	함덕뚝배기	33.542427	126.670315	33.542426	126.670315	0	제주시 조천읍 조함해안로 538 1층	제주특별자치도 제주시 조천읍 조함해안로 538	OK
맛집	선장과 해녀	33.544952	126.662161	33.544953	126.662122	4	제주시 조천읍 조함해안로 432-19 2층	제주특별자치도 제주시 조천읍 조함해안로 432-19	OK
맛집	명리동식당 본점	33.316603	126.270425	33.316631	126.270428	3	제주시 한경면 녹차분재로 498	제주특별자치도 제주시 한경면 녹차분재로 498	OK
맛집	바당길	33.409757	126.258513	33.409756	126.258519	1	제주시 한림읍 한림서길 18 1층	제주특별자치도 제주시 한림읍 한림서길 18	OK
맛집	한림칼국수	33.415573	126.26151	33.415567	126.261505	1	제주시 한림읍 한림해안로 141 1층	제주특별자치도 제주시 한림읍 한림해안로 141	OK
맛집	산지해장국	33.516363	126.528512	33.516363	126.528512	0	제주시 임항로 34 1층 (탑동)	제주특별자치도 제주시 임항로 34	OK
맛집	스시도모다찌 칠성점	33.513501	126.525814	33.513479	126.525814	2	제주시 관덕로13길 3 1층	제주특별자치도 제주시 관덕로13길 3	OK
맛집	오현불백	33.511031	126.529605	33.511025	126.529610	1	제주시 성지로 58-2 상가 1층 (동문시장 인근)	제주특별자치도 제주시 성지로 58-2	OK
맛집	흑본오겹 함덕점	33.543614	126.658702	33.543638	126.658711	3	제주시 조천읍 신북로 454 1층	제주특별자치도 제주시 조천읍 신북로 454	OK
맛집	고집돌우럭 함덕점	33.54381	126.663095	33.543817	126.663100	1	제주시 조천읍 신북로 491-9 2층	제주특별자치도 제주시 조천읍 신북로 491-9	OK
맛집	전원일기 효돈점	33.260345	126.616357	33.260324	126.616351	2	서귀포시 일주동로 8153 1층	제주특별자치도 서귀포시 일주동로 8153	OK
맛집	순천미향 제주산방산본점	33.235692	126.312481	33.235669	126.312482	3	서귀포시 안덕면 사계남로216번길 24-73	제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73	OK
맛집	카페 다린	33.236505	126.513839	33.236522	126.513841	2	서귀포시 법환로 11 1층	제주특별자치도 서귀포시 법환로 11	OK
맛집	야원	33.469508	126.664927	33.469508	126.664927	0	제주시 조천읍 번영로 1218	제주특별자치도 제주시 조천읍 번영로 1218	OK
맛집	제주둥지	33.400839	126.253399	33.400844	126.253410	1	제주시 한림읍 옹포4길 24	제주특별자치도 제주시 한림읍 옹포4길 24	OK
맛집	옹포정미소	33.405089	126.25559	33.405095	126.255588	1	제주시 한림읍 한림로 530-1	제주특별자치도 제주시 한림읍 한림로 530-1	OK
맛집	테라로사 서귀포점	33.249378	126.618771	33.249468	126.618795	10	서귀포시 칠십리로658번길 27-16 (하효동)	제주특별자치도 서귀포시 칠십리로658번길 27-16	OK
맛집	동백포레스트	33.300308	126.636198	33.300320	126.636202	1	서귀포시 남원읍 생기악로 53-38	제주특별자치도 서귀포시 남원읍 생기악로 53-38	OK
맛집	서귀다원	33.312812	126.596877	33.312801	126.596671	19	서귀포시 516로 717 (상효동)	제주특별자치도 서귀포시 516로 717	OK
맛집	감저	33.22957	126.24503	33.229732	126.245177	23	서귀포시 대정읍 대한로 22	제주특별자치도 서귀포시 대정읍 대한로 22	OK
맛집	그계절	33.531818	126.818508	33.531818	126.818508	0	제주시 구좌읍 한동로 119	제주특별자치도 제주시 구좌읍 한동로 119	OK
맛집	취향의섬 키친	33.27439	126.689815	33.274389	126.689816	0	서귀포시 남원읍 태위로398번길 7	제주특별자치도 서귀포시 남원읍 태위로398번길 7	OK
맛집	카페한라산	33.524723	126.862904	33.524723	126.862904	0	제주시 구좌읍 면수1길 48	제주특별자치도 제주시 구좌읍 면수1길 48	OK
맛집	달책빵	33.536421	126.839439	33.536453	126.839291	14	제주시 구좌읍 대수길 10-12	제주특별자치도 제주시 구좌읍 대수길 10-12	OK
맛집	카페아오오	33.379091	126.879958	33.379089	126.879958	0	서귀포시 성산읍 환해장성로 75	제주특별자치도 서귀포시 성산읍 환해장성로 75	OK
맛집	모슬포정미소	33.222985	126.252401	33.222984	126.252401	0	서귀포시 대정읍 하모중앙로 57-3	제주특별자치도 서귀포시 대정읍 하모중앙로 57-3	OK
맛집	어린왕자감귤밭	33.2533	126.28183	33.253299	126.281830	0	서귀포시 대정읍 추사로36번길 45-1	제주특별자치도 서귀포시 대정읍 추사로36번길 45-1	OK
맛집	커피스케치	33.23337	126.313291	33.233371	126.313291	0	서귀포시 안덕면 사계남로216번길 24-32	제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32	OK
맛집	내노키	33.283559	126.723352	33.283559	126.723352	0	서귀포시 남원읍 태위로723번길 30-16	제주특별자치도 서귀포시 남원읍 태위로723번길 30-16	OK
맛집	루핀	33.21038	126.291332	33.210380	126.291332	0	서귀포시 대정읍 형제해안로 272	제주특별자치도 서귀포시 대정읍 형제해안로 272	OK
맛집	목장카페밭디	33.408024	126.772666	33.407900	126.772216	44	서귀포시 표선면 번영로 2486	제주특별자치도 서귀포시 표선면 번영로 2486	OK
